,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1546,0.0,10.0,0.0,0.0,11.7142857143,,308337
1547,16.6,15.6666666667,17.0,16.0,15.4285714286,15.8333333333,308376
1548,0.0,12.0,12.6666666667,13.0,0.0,0.0,308426
1549,0.0,0.0,0.0,13.25,0.0,,308440
1550,0.0,12.6666666667,0.0,13.0,0.0,,308442
1551,0.0,0.0,0.0,13.0,14.0,,308460
1552,0.0,13.3333333333,0.0,12.0,11.1428571429,,308528
1553,0.0,0.0,0.0,13.5,12.3333333333,,308563
1554,,,,,14.0,,308620
1555,13.9,13.6666666667,14.5555555556,13.25,14.4285714286,,308651
1556,12.8,14.3333333333,12.5555555556,13.75,13.1428571429,14.1666666667,308692
1557,0.0,0.0,0.0,13.0,0.0,,308722
1558,0.0,14.0,12.4444444444,12.75,12.0,12.3333333333,308863
1559,0.0,0.0,12.8888888889,12.5,12.8571428571,,308883
1560,13.0,11.0,12.5555555556,13.5,11.8571428571,,309052
1561,0.0,0.0,0.0,12.5,0.0,,309077
1562,0.0,0.0,0.0,13.0,13.0,,309162
1563,14.1,12.3333333333,13.8888888889,14.0,16.8571428571,,309227
1564,11.7,10.3333333333,0.0,12.5,12.5714285714,,309228
1565,0.0,0.0,0.0,13.0,13.5714285714,,309232
1566,0.0,0.0,0.0,12.75,13.5714285714,,309269
1567,0.0,0.0,0.0,14.5,10.0,,309375
1568,0.0,0.0,0.0,12.0,0.0,,309376
1569,0.0,11.3333333333,0.0,13.75,11.3333333333,0.0,309380
1570,0.0,0.0,0.0,12.5,14.5,,309390
1571,0.0,12.6666666667,0.0,17.0,13.7142857143,0.0,309423
1572,0.0,0.0,0.0,0.0,12.0,,309449
1573,0.0,0.0,0.0,11.5,11.0,,309639
1574,,,,,10.5,,309666
1575,0.0,0.0,0.0,0.0,0.0,,310027
1576,,,,,11.0,,310976
1577,,,,,14.5,,311169
1578,13.4,17.0,15.0,16.5,16.1428571429,15.75,312773
1579,0.0,0.0,0.0,0.0,0.0,,334122
1580,0.0,,0.0,,,,336232
1581,0.0,0.0,0.0,10.5,0.0,,346645
1582,,,,,0.0,14.6666666667,363220
1583,,,,,15.5,15.8,363226
1584,,,,,13.5,,363241
